OBJECTID,GEOID,NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
1421,53033009100,"Census Tract 91, King County, Washington",2674,1228,10,0,10,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,847,73,774,245,55,190,93,69,24,116,72,44,69,69,0,55,0,55,5Y21,Seattle,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",91
1422,53033009200,"Census Tract 92, King County, Washington",2687,1826,109,85,24,66,66,0,68,68,0,8,8,0,8,8,0,67,18,49,501,114,387,19,19,0,0,0,0,6,6,0,0,0,0,9,0,9,5Y21,Seattle,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",92
1423,53033009300,"Census Tract 93, King County, Washington",2898,2322,116,28,88,25,25,0,9,9,0,27,17,10,40,40,0,22,22,0,174,51,123,10,0,10,30,15,15,56,24,32,10,3,7,57,36,21,5Y21,Seattle,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",93
1424,53033009400,"Census Tract 94, King County, Washington",6429,4040,635,294,341,0,0,0,0,0,0,0,0,0,202,163,39,0,0,0,854,300,554,174,57,117,88,49,39,148,148,0,0,0,0,288,221,67,5Y21,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",94
1425,53033009500,"Census Tract 95, King County, Washington",6512,5053,267,251,16,78,68,10,38,22,16,0,0,0,159,159,0,42,42,0,308,221,87,317,100,217,8,0,8,123,95,28,11,0,11,108,84,24,5Y21,Seattle,4.4,4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",95
1426,53033009600,"Census Tract 96, King County, Washington",5431,5084,73,73,0,0,0,0,0,0,0,65,65,0,25,23,2,0,0,0,134,111,23,11,11,0,0,0,0,20,0,20,19,19,0,0,0,0,5Y21,Seattle,1.4,1,Alki/Admiral,"Alki, Admiral",96
1427,53033009701,"Census Tract 97.01, King County, Washington",5817,4529,100,53,47,207,136,71,136,136,0,489,325,164,55,55,0,77,77,0,97,71,26,30,25,5,38,38,0,31,8,23,0,0,0,28,28,0,5Y21,Seattle,1.4,1,Alki/Admiral,"Alki, Admiral",97.01
1428,53033009702,"Census Tract 97.02, King County, Washington",5341,5021,104,88,16,30,30,0,16,16,0,34,34,0,19,18,1,0,0,0,25,25,0,0,0,0,29,15,14,15,15,0,48,31,17,0,0,0,5Y21,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",97.02
1429,53033009801,"Census Tract 98.01, King County, Washington",3133,2929,83,29,54,15,15,0,0,0,0,0,0,0,59,59,0,31,6,25,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,5Y21,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",98.01
1430,53033009802,"Census Tract 98.02, King County, Washington",3549,3089,48,48,0,0,0,0,41,41,0,245,105,140,9,9,0,0,0,0,0,0,0,16,16,0,0,0,0,78,60,18,17,17,0,6,6,0,5Y21,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",98.02
